ファイル名,内容
mob_wyvern_back.png,ワイバーン。海竜ワイアームが成長した強化形態。深紅の鱗と鋭い翼状のひれを持つ蛇型の海竜。口から火球を吐きそうな凶暴さ。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_merman_front.png,マーマン。人類がバイオテクノロジーで海に適応した成れの果ての半魚人。鱗に覆われた人型で鋭い爪と魚の頭部。群れで襲う獰猛さ。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_merman_back.png,マーマン。人類がバイオテクノロジーで海に適応した成れの果ての半魚人。鱗に覆われた人型で鋭い爪と魚の頭部。群れで襲う獰猛さ。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_charybdis_front.png,カリュブディス。海面に見える巨大な渦潮とその中心からわずかに覗く蛇のような海魔の頭部。渦を巻く海水と不気味な深淵。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_charybdis_back.png,カリュブディス。海面に見える巨大な渦潮とその中心からわずかに覗く蛇のような海魔の頭部。渦を巻く海水と不気味な深淵。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_tiamat_front.png,ティアマット。由来不明の空中を舞う竜の女王。漆黒と金の鱗を持つ翼の生えた巨大なドラゴン。神話的な威容。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_tiamat_back.png,ティアマット。由来不明の空中を舞う竜の女王。漆黒と金の鱗を持つ翼の生えた巨大なドラゴン。神話的な威容。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_dagon_front.png,ダゴン。ヒトとタコを掛け合わせたような姿の異形の神。緑がかった粘液質の体で触腕を伸ばす。旧支配者風の不気味さ。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_dagon_back.png,ダゴン。ヒトとタコを掛け合わせたような姿の異形の神。緑がかった粘液質の体で触腕を伸ばす。旧支配者風の不気味さ。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_amphiptere.png,アンフィプテレ。翼はあるが足がなく、上半身は竜、下半身は蛇のような姿の有翼飛竜。紫がかった鱗を持ち高速で飛ぶ。横向きの全身像。
mob_amphiptere_front.png,アンフィプテレ。翼はあるが足がなく、上半身は竜、下半身は蛇のような姿の有翼飛竜。紫がかった鱗。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_amphiptere_back.png,アンフィプテレ。翼はあるが足がなく、上半身は竜、下半身は蛇のような姿の有翼飛竜。紫がかった鱗。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_zahhak.png,ザッハーク。銀色に輝く神々しい巨大なドラゴン。磨き上げた白銀の鱗と大きな翼、荘厳で威圧的な神格を帯びた竜。空を舞う。横向きの全身像。
mob_zahhak_front.png,ザッハーク。銀色に輝く神々しい巨大なドラゴン。磨き上げた白銀の鱗と大きな翼、荘厳で威圧的な神格。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_zahhak_back.png,ザッハーク。銀色に輝く神々しい巨大なドラゴン。磨き上げた白銀の鱗と大きな翼、荘厳で威圧的な神格。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_ghost.png,幽霊船。レヴィアタンに轟沈させられた過去の勇士たちの魂が形をとった、朽ちてボロボロの帆船。青白く発光し半透明で船体は透けている。裂けた帆と折れたマスト、船体には砲門とガトリング砲・魚雷発射管。亡霊の炎が漂う。
lord_ghost_front.png,幽霊船。レヴィアタンに轟沈させられた過去の勇士たちの魂が形をとった、朽ちてボロボロの帆船。青白く発光し半透明で船体は透けている。裂けた帆と折れたマスト、船体には砲門とガトリング砲・魚雷発射管。亡霊の炎が漂う。同一キャラクターの正面からの全身像(船首がこちらを向いている構図)。
lord_ghost_back.png,幽霊船。レヴィアタンに轟沈させられた過去の勇士たちの魂が形をとった、朽ちてボロボロの帆船。青白く発光し半透明で船体は透けている。裂けた帆と折れたマスト、船体には砲門とガトリング砲・魚雷発射管。亡霊の炎が漂う。同一キャラクターの真後ろからの全身像(船尾がこちらを向いている構図)。
mob_starfish.png,オニヒトデ。全身が鋭く長いトゲに覆われた、まがまがしい巨大なヒトデの怪物。毒々しい赤紫と橙の体色で、5本の腕を放射状に広げている。真上から見下ろした放射状の全身像(横向きではなく上から見た構図)。
mob_zaratan.png,ザラタン。岩のようにごつごつした甲羅と巨大なハサミを持つ、船ほどの大きさの蟹の怪物。濃い赤茶色の外殻に藻と貝が付着している。横向きの全身像。
mob_zaratan_front.png,ザラタン。岩のようにごつごつした甲羅と巨大なハサミを持つ、船ほどの大きさの蟹の怪物。濃い赤茶色の外殻に藻と貝が付着している。同一キャラクターの正面からの全身像(顔と両ハサミがこちらを向いている構図)。
mob_zaratan_back.png,ザラタン。岩のようにごつごつした甲羅と巨大なハサミを持つ、船ほどの大きさの蟹の怪物。濃い赤茶色の外殻に藻と貝が付着している。同一キャラクターの真後ろからの全身像(甲羅の背中がこちらを向いている構図)。
lord_aspidochelone.png,アスピドケロン。島と見紛うほど巨大な亀の怪物。甲羅の上に岩場と枯れ木、小さな砂丘が乗っている。苔むした緑褐色の甲羅と太い四肢。真上から見下ろした全身像(横向きではなく上から見た構図)。
lord_legion.png,レギオン。無数の小魚が群れて一匹の巨大な魚の形の陣形を成した怪物。銀青色の小魚が密集して魚のシルエットを描き、輪郭がざらついて粒立って見える。群知能の不気味さ。横向きの全身像。
lord_legion_front.png,レギオン。無数の小魚が群れて一匹の巨大な魚の形の陣形を成した怪物。銀青色の小魚が密集して魚のシルエットを描く。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_legion_back.png,レギオン。無数の小魚が群れて一匹の巨大な魚の形の陣形を成した怪物。銀青色の小魚が密集して魚のシルエットを描く。同一キャラクターの真後ろからの全身像(尾がこちらを向いている構図)。
lord_undine.png,ウンディーネ。水の精霊である美女。青い長髪と、流れる水をまとった青銀の衣装。戦闘中の躍動感のあるポーズで、片腕を大きく振り上げて渦巻く水流を放とうとしている。髪と衣の裾が大きくなびく。
lord_undine_front.png,ウンディーネ。水の精霊である美女。青い長髪と、流れる水をまとった青銀の衣装。戦闘中の躍動感のあるポーズで、片腕を大きく振り上げて渦巻く水流を放とうとしている。髪と衣の裾が大きくなびく。 同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_undine_back.png,ウンディーネ。水の精霊である美女。青い長髪と、流れる水をまとった青銀の衣装。戦闘中の躍動感のあるポーズで、片腕を大きく振り上げて渦巻く水流を放とうとしている。髪と衣の裾が大きくなびく。 同一キャラクターの真後ろからの全身像(背中がこちらを向いている構図)。
lord_siren.png,セイレーン。美女の姿の海の妖婦。両腕で金色のハープを抱え、弦を掻き鳴らしている(ハープは必ず明確に描くこと)。衣装は青銀と真珠色で、純白一色にはしない。戦闘中の躍動感のあるポーズで、身体をひねり長い髪が大きく波打つ。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
lord_siren_front.png,セイレーン。美女の姿の海の妖婦。両腕で金色のハープを抱え、弦を掻き鳴らしている(ハープは必ず明確に描くこと)。衣装は青銀と真珠色で、純白一色にはしない。戦闘中の躍動感のあるポーズで、身体をひねり長い髪が大きく波打つ。 同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
lord_siren_back.png,セイレーン。美女の姿の海の妖婦。両腕で金色のハープを抱え、弦を掻き鳴らしている(ハープは必ず明確に描くこと)。衣装は青銀と真珠色で、純白一色にはしない。戦闘中の躍動感のあるポーズで、身体をひねり長い髪が大きく波打つ。 同一キャラクターの真後ろからの全身像(背中がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_mermaid.png,マーメイド。上半身は美少女、下半身は魚。戦闘中の躍動感のあるポーズで、水中から身をひるがえし尾びれを強く打ち付けている。髪とひれが大きく躍る。鱗は青緑の金属光沢。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_mermaid_front.png,マーメイド。上半身は美少女、下半身は魚。戦闘中の躍動感のあるポーズで、水中から身をひるがえし尾びれを強く打ち付けている。髪とひれが大きく躍る。鱗は青緑の金属光沢。 同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_mermaid_back.png,マーメイド。上半身は美少女、下半身は魚。戦闘中の躍動感のあるポーズで、水中から身をひるがえし尾びれを強く打ち付けている。髪とひれが大きく躍る。鱗は青緑の金属光沢。 同一キャラクターの真後ろからの全身像(背中がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_lamia.png,ラミア。上半身は美少女、下半身は蛇。戦闘中の躍動感のあるポーズで、とぐろを解いて上体を高く起こし、今にも飛びかかろうと身をしならせている。蛇体は紫と金の鱗。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_lamia_front.png,ラミア。上半身は美少女、下半身は蛇。戦闘中の躍動感のあるポーズで、とぐろを解いて上体を高く起こし、今にも飛びかかろうと身をしならせている。蛇体は紫と金の鱗。 同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_lamia_back.png,ラミア。上半身は美少女、下半身は蛇。戦闘中の躍動感のあるポーズで、とぐろを解いて上体を高く起こし、今にも飛びかかろうと身をしならせている。蛇体は紫と金の鱗。 同一キャラクターの真後ろからの全身像(背中がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_zombie_fish.png,ゾンビウオ。腐敗して肉が裂け肋骨がむき出しになっているのに、なお泳ぎ回る魚。濁った眼と剥き出しの歯。青灰色に変色した皮膚。画面内に枠線・縦線・仕切り線の類は一切描かないこと。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_zombie_fish_front.png,ゾンビウオ。腐敗して肉が裂け肋骨がむき出しになっているのに、なお泳ぎ回る魚。濁った眼と剥き出しの歯。青灰色に変色した皮膚。画面内に枠線・縦線・仕切り線の類は一切描かないこと。 同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_zombie_fish_back.png,ゾンビウオ。腐敗して肉が裂け肋骨がむき出しになっているのに、なお泳ぎ回る魚。濁った眼と剥き出しの歯。青灰色に変色した皮膚。画面内に枠線・縦線・仕切り線の類は一切描かないこと。 同一キャラクターの真後ろからの全身像(背中がこちらを向いている構図)。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。全身が画面に収まる。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
mob_moon_jelly.png,ムーンジェリー。巨大で透明感のある青紫のクラゲ。傘は半球形で、長い触手が下へゆったり伸びる。触手の先まで含めて全体が画面に収まる構図。【厳守】背景は完全な透明(白や風景を描かない)。被写体は1体のみ。**全身が画面内に完全に収まり、体の一部が画面端で切れないこと**。フルカラー(モノクロ不可)。枠線・地面・文字を描かない。
lord_kraken_lord.png,オクトパス。海嘯の島の近海に君臨する巨大なタコの主。丸く盛り上がった頭部と鋭い眼、四方へうねる8本の太い触腕。灰色がかった暗い体色にフジツボが付着している。触腕の先端まで含めて全身が画面内に完全に収まるようにし、体の輪郭を画面の端で絶対に切らないこと。余白を十分に取り、触腕は本体とつながった一本の塊として描き、体から離れた断片を描かない。
lord_kraken_lord_front.png,オクトパス。海嘯の島の近海に君臨する巨大なタコの主。丸く盛り上がった頭部と鋭い眼、四方へうねる8本の太い触腕。灰色がかった暗い体色にフジツボが付着している。触腕の先端まで含めて全身が画面内に完全に収まるようにし、体の輪郭を画面の端で絶対に切らないこと。余白を十分に取り、触腕は本体とつながった一本の塊として描き、体から離れた断片を描かない。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_kraken_lord_back.png,オクトパス。海嘯の島の近海に君臨する巨大なタコの主。丸く盛り上がった頭部と鋭い眼、四方へうねる8本の太い触腕。灰色がかった暗い体色にフジツボが付着している。触腕の先端まで含めて全身が画面内に完全に収まるようにし、体の輪郭を画面の端で絶対に切らないこと。余白を十分に取り、触腕は本体とつながった一本の塊として描き、体から離れた断片を描かない。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_wraith.png,レイス。常闇の島の近海をさまよう亡霊の主。ぼろぼろの白い布をまとった顔の見えない亡霊で、フードの奥に青白く光る目。手や裾から青白い霊気がゆらめく。背景は完全な透明で、被写体の周囲に霧・靄・光のグロー・背景の板や矩形を一切描かない。地面や影も描かない。
lord_wraith_front.png,レイス。常闇の島の近海をさまよう亡霊の主。ぼろぼろの白い布をまとった顔の見えない亡霊で、フードの奥に青白く光る目。手や裾から青白い霊気がゆらめく。背景は完全な透明で、被写体の周囲に霧・靄・光のグロー・背景の板や矩形を一切描かない。地面や影も描かない。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_wraith_back.png,レイス。常闇の島の近海をさまよう亡霊の主。ぼろぼろの白い布をまとった顔の見えない亡霊で、フードの奥に青白く光る目。手や裾から青白い霊気がゆらめく。背景は完全な透明で、被写体の周囲に霧・靄・光のグロー・背景の板や矩形を一切描かない。地面や影も描かない。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
fish_turtle.png,ウミガメ。海面上昇後の海に適応した大きなウミガメ。厚い甲羅と大きな前ヒレ。落ち着いた緑褐色。横向きの全身像で、甲羅とヒレの先まで画面内に完全に収める。
fish_lobster.png,ロブスター。極寒の海に棲む大きなロブスター。太い両はさみと節のある尾。深い赤褐色に霜のような白い斑。横向きの全身像で、はさみと触角の先まで画面内に完全に収める。
fish_anglerfish.png,アンコウ。暗い海に棲む提灯を持つ深海魚。大きな口と鋭い歯、頭から伸びる発光器がぼんやり光る。暗い灰紫の体色。横向きの全身像で、発光器の先まで画面内に完全に収める。
fish_conger.png,アナゴ。細長く身をくねらせたアナゴ。滑らかな体表と小さな胸ビレ、やや大きな目。くすんだ茶褐色に淡い側線。横向きの全身像で、尾の先まで画面内に完全に収める。
fx_flame.png,火炎放射の炎の塊。前方へ吹き出す一房の炎で、先端が明るい黄白色、根元へ向かって橙から赤へ移る。上向き(画面の上が進行方向)の縦長の形。背景は完全な透明で、煙や火花の粒は描かない。ゲームの弾として使う小さな素材。
fx_frost.png,冷気放射の氷片の塊。前方へ吹き出す一房の冷気で、先端が白く輝き、根元へ向かって淡い水色から青へ移る。鋭い氷の結晶が混じる。上向き(画面の上が進行方向)の縦長の形。背景は完全な透明で、雪の粒は描かない。ゲームの弾として使う小さな素材。
fish_marlin.png,カジキマグロ。鋭く長い吻(つの)を持つ大型の回遊魚。流線型の逞しい体、背に立つ高い背ビレ、三日月形の尾。深い藍色の背と銀白の腹。横向きの全身像で、吻の先から尾の先まで画面内に完全に収める。
fx_castaway.png,漂流者。海面に浮かぶ木片や樽につかまって助けを求めている一人の船乗り。ぼろぼろの服、片手を上げて合図している。真上から見下ろした構図で、人物と浮遊物だけを描く。背景は完全な透明で、水や波は描かない。ゲームの小さな目印として使う素材。
fx_cargo.png,漂流貨物。海面に浮かぶ木の樽と木箱がロープで束ねられた荷。濡れて色が濃くなった木材、金属の帯。真上から見下ろした構図で、荷だけを描く。背景は完全な透明で、水や波は描かない。ゲームの小さな目印として使う素材。
badge_charge.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:交差した2本の鋭い衝角(船の舳先の角)。突撃の勢いを表す。
badge_weapon.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:銃・砲・銛・魚雷を扇状に束ねた武器の集合。
badge_mixed.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:種類の異なる軍艦の船影を3隻、大きさ違いで重ねたもの。
badge_battle.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:重厚な戦艦の船影を正面から1隻。堂々とした構え。
badge_master1.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:星が1つ輝く月桂樹の冠。
badge_master5.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:星が5つ並んで輝く月桂樹の冠。
badge_fame.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:放射状に光を放つ勲章と、たなびくリボン。栄光を表す。
badge_rich.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:積み上がった金貨と宝石。豊かさを表す。
badge_fish.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:跳ねる魚と、それを囲む網。豊漁を表す。
badge_relic.png,ゲームの実績バッヂの図案。円形のメダルの中に紋章を1つだけ描く。金属の縁取り、落ち着いた配色、平面的で図案化された絵柄。背景は完全な透明。文字は入れない。小さく表示しても分かる単純な形にする。紋章の題材:発掘された古代の壺と、その手前に置かれた刷毛。考古学を表す。
